Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret,D
SplitConformal,sudden,0.843,129.5,0.122,0.0077,1000
NExConformal,sudden,0.894,123.7,0.051,0.0031,1000
FACI,sudden,0.891,123.4,0.046,0.0030,1000
ScaleFreeOGD,sudden,0.900,179.5,0.003,1.6681,1000
SimpleOGD,sudden,0.899,125.0,0.041,0.0031,1000
FACI_S,sudden,0.896,124.9,0.044,0.0030,1000
SAOCP,sudden,0.950,188.0,0.052,1.9396,1000
MagnitudeLearner,sudden,0.901,143.2,0.034,0.0191,1000
MagLearnUndiscounted,sudden,0.894,122.0,0.044,0.0034,1000
SplitConformal,gradual,0.826,153.1,0.102,0.0045,1000
NExConformal,gradual,0.895,159.7,0.041,0.0012,1000
FACI,gradual,0.896,160.3,0.042,0.0012,1000
ScaleFreeOGD,gradual,0.900,179.8,0.003,1.6765,1000
SimpleOGD,gradual,0.900,161.8,0.026,0.0018,1000
FACI_S,gradual,0.898,160.6,0.038,0.0013,1000
SAOCP,gradual,0.982,196.7,0.083,1.9299,1000
MagnitudeLearner,gradual,0.894,166.0,0.036,0.0209,1000
